id,thomas_id,api_uri,first_name,middle_name,last_name,party,twitter_account,facebook_account,facebook_id,url,rss_url,domain,seniority,state,district,missed_votes_pct,votes_with_party_pct
S001148,1590,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S001148.json,Mike,,Simpson,R,CongMikeSimpson,96007744606,96007744606,http://simpson.house.gov/,http://simpson.house.gov/news/rss.aspx,simpson.house.gov,10,ID,2,5.12,87.69
S001150,1635,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S001150.json,Adam,B.,Schiff,D,RepAdamSchiff,RepAdamSchiff,9086721830,http://schiff.house.gov,http://schiff.house.gov/common/rss/?rss=49,schiff.house.gov,8,CA,29,1.23,97.46
S001153,1636,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S001153.json,Hilda,L.,Solis,D,,,,,,,8,CA,32,2.35,97.38
S001154,1681,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S001154.json,Bill,,Shuster,R,RepBillShuster,Rep.Shuster,54386677806,http://shuster.house.gov/,http://shuster.house.gov/common/rss//index.cfm?rss=49,shuster.house.gov,8,PA,9,2.77,92.81
S001155,1689,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S001155.json,John,,Sullivan,R,USRepSullivan,,,,,,8,OK,1,8.80,91.81
S001156,1757,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S001156.json,Linda,T.,Sanchez,D,replindasanchez,CongresswomanLindaSanchez,110685735673141,http://lindasanchez.house.gov,http://lindasanchez.house.gov/index.php?format=feed&type=rss,lindasanchez.house.gov,6,CA,39,1.60,96.91
S001157,1722,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S001157.json,David,,Scott,D,repdavidscott,113303673339,113303673339,http://davidscott.house.gov,http://davidscott.house.gov/news/rss.aspx,davidscott.house.gov,6,GA,13,1.44,96.65
S001158,1775,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S001158.json,John,,Salazar,D,,,,,,,4,CO,3,1.44,95.24
S001162,1798,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S001162.json,Allyson,Y.,Schwartz,D,,RepAllysonSchwartz,244000962363116,http://schwartz.house.gov/,http://schwartz.house.gov/rss.xml,schwartz.house.gov,2,PA,13,1.65,96.80
S001164,1815,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S001164.json,Jean,,Schmidt,R,,,,,,,4,OH,2,2.77,92.54
S001165,1818,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S001165.json,Albio,,Sires,D,Rep_Albio_Sires,81058818750,81058818750,http://sires.house.gov,http://sires.house.gov/rss.xml,sires.house.gov,4,NJ,13,3.36,97.46
S001167,1847,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S001167.json,Bill,,Sali,R,,,,,,,2,ID,1,1.23,88.17
S001168,1854,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/S001168.json,John,,Sarbanes,D,RepJohnSarbanes,,,http://sarbanes.house.gov,http://sarbanes.house.gov/rss_news.asp,sarbanes.house.gov,2,MD,3,0.75,98.17
